ID,Built-In (no install),Online (no install),Need to install,Works w/o internet,FREE,Trial,Lifetime License,Subscription,Spare1,Reading,Writing,Exec / Focus,Cognitive,Vision,Braille,Hearing,Physical,Speech/Comm,Training / Therapy,Windows,Macintosh,Chromebook,iPad (iPadOS),iPhone (iOS),Android,(**online - mark all),Works with which OS versions,ID TAG,COMPANY,PRODUCT/FEATURE NAME,DESCRIPTION,VENDOR'S WEBSITE DESC LINK,YOUTUBE VIDEOS,AToD installer (short name),Data-Entry-Person NOTES,INTERNAL NOTES,AUDITOR NOTES
2,,,I,,,T,,,,,,,,,,,P,,,W,,,,,,,,head_pilot,Accessman,Head Pilot,Head Pilot is a contactless Head Tracking assistive technology for people who cannot use a traditional keyboard or mouse.The user controls the cursor and generates a time-delayed click using their webcam and head movements alone.  NOTE: Website and YouTubes are in French.,https://www.access-man.com/head-pilot/,"https://www.youtube.com/watch?v=66jC2UEuoi8&t=51s
https://www.youtube.com/watch?v=a2iVnqnyBTA&list=PLcYg7qR4o12jty9qFn0L--TzLeY8PBxFm",,Approximate cost: $349.00,"I don't believe there's a mac OS version, I attempted to install it and it did not work.","1. Could add a little bit more description: ""The user controls the cursor and generates a time-delayed click using their webcam and head movements alone.""
2. Another interesting video: https://www.youtube.com/watch?v=a2iVnqnyBTA&list=PLcYg7qR4o12jty9qFn0L--TzLeY8PBxFm if you want to add?"
3,,,I,,F,,,,,R,,,C,,,,,,,,,,P,I,,,iOS 15.0 and later,accretive_systems_dyslexia_keyboard,Accretive Systems LLC,Dyslexia Font Keyboard and Pal,"DyslexiaKey makes typing less frustrating for those with dyslexia. By using a specific font created specifically for dyslexic individuals, this app allows people affected by dyslexia to type with ease as well as use AI to learn new information, understand abstract ideas and come up with new recipes with left over ingredients.",https://apps.apple.com/us/app/dyslexia-font-keyboard-pal/id957626910,,,,There are no videos on this yet. I included two links because the company/developer website looks fairly new with little to no information.,"Description can include more features, please refer to the iOS app store's description. It is free with In-App purchases. The links on the website are not responsive."
4,,,I,,F,,,,,,,,C,,,,,S,,,,,,,A,,Android requires 4.0 and up,alexicom_acc_android,Alexicom Tech,Alexicom AAC - Android,"Alexicom AAC enables Android or iOS devices to serve as augmentative communication devices. Users can publish Alexicom augmentative communication pages to their devices. Communication pages with text, images, and AT&T Natural Voices speech output can be downloaded directly from the Alexicom server or imported from a PC or Mac using iTunes.

",https://play.google.com/store/apps/details?id=org.me.alexicomaac&hl=en_US,https://youtu.be/VZ71CE6zvpE,,,The developer/vendor site does not mention this particular app but has other apps the company has developed. This is the link https://www.alexicomaac.com/,
5,,,I,,F,,,,,,,,C,,,,,S,,,,,P,I,,,IPhone and IPad Requires iOS 8.0 or later,alexicom_acc_apple,Alexicom Tech,Alexicom AAC - iPad-iPhone,"Alexicom AAC enables Android or iOS devices to serve as augmentative communication devices. Users can publish Alexicom augmentative communication pages to their devices. Communication pages with text, images, and AT&T Natural Voices speech output can be downloaded directly from the Alexicom server or imported from a PC or Mac using iTunes.

",https://apps.apple.com/us/app/alexicom-aac/id395122088 ,https://youtu.be/VZ71CE6zvpE,,,The developer/vendor site does not mention this particular app but has other apps the company has developed. This is the link https://www.alexicomaac.com/,
6,B,,,,F,,,,,,W,,,,,,P,,,,M,,,,,,,apple_accessibilitykeyboard,Apple,Accessibility Keyboard (OSK),The Accessibility Keyboard is an onscreen keyboard that lets you use your Mac without a physical keyboard. It provides advanced typing (such as typing suggestions) and navigation features that you can customize to make it easier to use your favorite apps.,https://support.apple.com/guide/mac-help/use-the-accessibility-keyboard-mchlc74c1c9f/mac,https://www.youtube.com/watch?v=OLglPMEQ9mk&ab_channel=ITMagics,,,Description is right off Apple's website support guide on OSK for macOS,- - Language of description sounds promotional
7,B,,,,F,,,,,,,,,,,,P,,,,,,P,I,,,,apple_airpods,Apple,Accessories AirPods,"When paired with AirPods, you can adjust built-in accessibility features on your AirPods. You can adjust the press speed of your  AirPod's buttons, adjust the press and hold duration to smake them shorter, or turn on noise control with only one AirPod in your ear. You can also turn off spatial audio head tracking.",https://support.apple.com/guide/airpods/change-force-sensor-touch-control-button-dev68116dd52/1.0/web/1.0,https://www.youtube.com/watch?v=u7aGc_vwYIE,,,can cater to cognition also,
8,B,,,,F,,,,,,,,,,,H,,,,,M,,P,I,,,,apple_type_to_siri_2,Apple,Announce Notifications,"This feature allows Siri to provide audio announcements of notifications and calls from apps like Messages on your iPhone speaker, supported headphones, when using CarPlay, and on MFi hearing devices.",https://support.apple.com/en-al/guide/iphone/iphaff1d606/ios,https://www.youtube.com/playlist?list=PLIl2EzNYri0cLtSlZowttih25VnSvWITu,,,,"1. In description I would start the sentence out like ""This feature allows"", something like that
2. Put a video, the link redirects you to a playlist (get the link of actual video)"
9,B,,,,F,,,,,,,,C,V,,,,,,,,,P,I,,,"iOS 6 and later., iPadOS: iPadOS 13 and later.",apple_Assistive_Access,Apple,Assistive Access,"Assistive Access makes it easy for people with cognitive disabilities to tailor iPhone and iPad to lighten cognitive load and suit their specific needs and preferences. Designed with feedback from individuals with cognitive disabilities and their trusted supporters, Assistive Access offers a distinctive interface with high-contrast buttons, large text labels, and visual alternatives to text. It also has tools to help individuals and their trusted supporters adjust the experience in specific apps.",https://support.apple.com/guide/assistive-access-iphone/set-up-assistive-access-devcd5016d31/ios,"https://www.youtube.com/shorts/d1aMjSbHqrM
https://www.youtube.com/watch?v=psbFEp_KFLs&pp=ygUWYXBwbGUgQXNzaXN0aXZlIEFjY2Vzcw%3D%3D
https://www.youtube.com/watch?v=fDT87JUmOpw&pp=ygUWYXBwbGUgQXNzaXN0aXZlIEFjY2Vzcw%3D%3D",,,,"1. Since Assistive Access includes high-contrast buttons and large text labels, it could also be categorized under vision. These features assist users with visual impairments by enhancing readability and interface visibility.
2. this specific name of product was introduced in ios 17, maybe there is a software that has similar features but not under this name."
10,B,,,,F,,,,,,,,C,,,,P,,,,,,P,I,,,"iOS 17 or later, iPadOS 17 or later",apple_assistive_touch,Apple,Assistive Touch,"AssistiveTouch is an iOS feature that you can use with a stylus to control your device, help you perform gestures like a pinch, multi-finger swipe, or 3D Touch, and use Siri. AssistiveTouch allows you to adjust certain settings on your device, including volume, rotate screen, lock screen, and more.",https://support.apple.com/en-us/111794,https://youtu.be/_j4-NTg3QsE?si=Ct3mQ63nqrVU4s4z,,,Should I add cognitive?,"1. yes, add cognitive
2. In description, what is single digit?
3. Remove ""Additionally""
4. Instead of ""like"" in the last sentence, say ""including"""
11,B,,,,F,,,,,,,E,,,,,,,,,,,P,I,,,iOS 11 & up,apple_attention_awareness,Apple,Attention Awareness,"Attention Awareness reduces the volume of alerts and dims the display when you are not looking at your iPhone. This feature uses the TrueDepth camera to detect your attention and adjust settings accordingly, helping to conserve battery life and reduce distractions when you are not actively engaging with your device.",https://support.apple.com/en-us/HT208245,https://www.youtube.com/watch?v=SyEMWIjGCvs,,,,"- device compatibility - X and above
- description could include more on how it is beneficial to users, eg. how it helps users with ADHD or autism
- https://www.youtube.com/watch?v=1icBw1Fzcx0 could be a better explanatory video"
